Name,Domain Name,Number of Employees,City,Country/Region,Phone Number,Description
Ualá,uala.com.ar,890,Buenos Aires,Argentina,,Post-restructuring 135 empleados. Momento ideal para sistema de evaluacion de desempeno.
Newsan,newsan.com.ar,750,Buenos Aires,Argentina,,Incorporando 750 empleados. Necesitan sistema de gestion de desempeno urgente.
Urbano Express,urbano.com.ar,400,Buenos Aires,Argentina,,Logistica e-commerce. Equipo distribuido. Alta probabilidad de proceso RRHH manual.
BASE4 Security,base4sec.com,80,Buenos Aires,Argentina,,Ciberseguridad. Crecimiento acelerado. Best Places to Work in Tech.
Baufest,baufest.com,900,Buenos Aires,Argentina,,IT Services. Great Place to Work 2024. Equipo grande proceso RRHH probablemente manual.
TP Logistica,tplogistica.com,300,Buenos Aires,Argentina,,Logistica integrada. 25 anos en mercado. Alta probabilidad de gestion RRHH en Excel.
Nubi,nubi.com.ar,80,Buenos Aires,Argentina,,Fintech beneficios corporativos. Startup creciendo. Necesitan estructura de evaluacion.
Bizit Global,bizitglobal.com,130,Cordoba,Argentina,,IT Consulting. Equipo remoto distribuido. Great Place to Work. 97% satisfaccion empleados.
TASA Logistica,tasalogistica.com,500,Buenos Aires,Argentina,,Logistica. Expansion regional AR/CL/PY/UY. Coordinacion cross-country de equipos.
Express Logistica,express-logistica.com,280,Buenos Aires,Argentina,,Transporte y logistica. Email RRHH directo disponible: rrhh@express-logistica.com
